License #,DBA Name,Address,City,State
1226935.0,BUONA TERRA RISTORANTE,2535 N CALIFORNIA AVE ,CHICAGO,IL
2084592.0,PETE'S  PIZZA & BAKEHOUSE,1100 W GRANVILLE AVE ,CHICAGO,IL
2284509.0,JOSI'S FROZEN YOGURT CAFE,4032 N MILWAUKEE AVE ,CHICAGO,IL
14012.0,SHRI KRISHNA INC,10401 S WESTERN AVE ,CHICAGO,IL
2422811.0,LAO YUNNAN,2109 S CHINA PL ,CHICAGO,IL
1192.0,SABATINOS INC,4441-4443 W IRVING PARK RD ,CHICAGO,IL
2578259.0,BREWER COFFEE AND CUSTARD,1008 W 79TH ST ,CHICAGO,IL
1943629.0,DMK BURGER BAR,2954 N SHEFFIELD AVE ,CHICAGO,IL
2431752.0,DUKE'S,5659 N CENTRAL AVE ,CHICAGO,IL
2458402.0,Earl's BBQ,4835 N AUSTIN AVE ,CHICAGO,IL
1198093.0,ANGELO'S PIZZA,3024-3026 W MONTROSE AVE ,CHICAGO,IL
2277942.0,MI RANCHITO,5220 S PULASKI RD ,CHICAGO,IL
1923013.0,THE CROSS ROADS BAR & GRILL,1120-1124 W MADISON ST ,CHICAGO,IL
2197134.0,ANN SATHER RESTAURANT GRANVILLE,1145-1147 W GRANVILLE AVE ,CHICAGO,IL
