license_no,yelp_id,inspection_name,inspection_address,yelp_name,yelp_address
2432410.0,91ARglBbekWzfpcouA1GtA,BEOGRAD CAFE AND RESTAURANT,2933-2939 W IRVING PARK RD ,Beograd Cafe,2933 W Irving Park Rd
2578639.0,J2k5JinpSnwiwD0Q_q5taw,SHINYA RAMEN HOUSE,3240 S HALSTED ST ,Shinya Ramen House,3240 S Halsted St
2588770.0,jFuAPa4aUHLHVv_pCQB8oQ,CAFE TOLA I,3612 N SOUTHPORT AVE ,Cafe Tola,3612 N Southport Ave
2042823.0,EMj-Ke8PAxA0ppWbcsirAg,PICANTE TAQUERIA,2018 W DIVISION ST ,Picante Taqueria,2018 W Division St
2609486.0,0,FRUIT GOD,7601 S CICERO AVE ,,
2663729.0,0,LAURA'S PIZZA AND PASTA INC.,1546 W 35TH ST ,,
2653277.0,TKfvCXVQ6xcQIXPGfLLIQA,IVY HOTEL,233 E ONTARIO ST ,IVY Hotel,233 E Ontario St
1740348.0,YWgw3jTxzMzrW-C6iLC3BQ,KITCHENETTE CORPORATION,3811 N ASHLAND AVE ,Kitchenette,3811 N Ashland Ave
2069506.0,JOiHzz9wPgLhkxjkrvSMgQ,SP KEBAB,6808 N SHERIDAN RD ,SP Kebab,6808 N Sheridan Rd
18271.0,6kZHqkNAu2rL63y04Z4XhA,PIEZANO'S LTD,2601 W 47TH ST ,Piezano's Pizza & Grinder,2601 W 47th St
2641932.0,0,EXQUISITE CATERING & EVENTS LLC,756 E 111TH ST ,,
2653273.0,TKfvCXVQ6xcQIXPGfLLIQA,IVY HOTEL,233 E ONTARIO ST ,IVY Hotel,233 E Ontario St
2653275.0,TKfvCXVQ6xcQIXPGfLLIQA,IVY HOTEL,233 E ONTARIO ST ,IVY Hotel,233 E Ontario St
2641287.0,OaBydYeLPOtpQXaU5DdQnw,YATAI,6230 N BROADWAY ,Yatai Asian Street Food,6230 N Broadway St
58149.0,md7_viEiOixRVSRlSsJPQQ,I-57 RIB HOUSE,1524 W 115TH ST ,I-57 Rib House,1524 W 115th St
2196302.0,K5LIqjp0TxILVedUgORIxw,LINDO GUADALAJARA RESTAURANT,4761 N CLARK ST ,Lindo Guadalajara,4761 N Clark St
1194275.0,8Mlal87EojIecsOPQgMiNw,J & J FISH,800 N KEDZIE AVE ,JJ Fish & Chicken,800 N Kedzie Ave
2404445.0,0,LOS POLLITOS,4003-05 W ARMITAGE AVE ,,
2147679.0,wzw3aysUi9sBq-wLb6OXbQ,ZIZI'S CAFE,2825 N  SHEFFIELD AVE ,Zizi's Cafe,2825 N Sheffield Ave
2621661.0,0,WHEREWITHALL,3472 N ELSTON AVE ,,
2636205.0,t6SM4QHmDkpmP-BW_PBZKQ,"BARRACO'S PIZZA,",2105-2121 W 95TH ST ,Barraco's,2105 W 95th St
2496857.0,EHpG7DJFCaFLEuirjwlT8A,POLLO ASADO INC,3724 W MONTROSE AVE ,Pollos Asados Ocotlan,3724 W Montrose Ave
2609145.0,bPiaa7fgHkC9l7B2HyS0aw,CEDAR PALACE,655 W ARMITAGE AVE ,Cedar Palace,655 W Armitage Ave
1938696.0,0,PICANTE TAQUERIA,2016 1/2 W DIVISION ST ,,
1492585.0,4x-JbY_XAybRGM6WQHF7HQ,LARK,3441 N HALSTED ST ,Lark,3441 N Halsted St
2653274.0,TKfvCXVQ6xcQIXPGfLLIQA,IVY HOTEL,233 E ONTARIO ST ,IVY Hotel,233 E Ontario St
2589574.0,0fL45OQjBPWCcBU9JDWhUw,LOS MANGOS,3859 W 26TH ST ,Los Mangos Neveria y Fruteria,3859 W 26th St
2609650.0,hg7GTftFbQG2Y6jz8u_Olg,B.I. TEA & DIM SUM,131 N CLINTON ST ,B.I.Tea & Dim Sum,131 N Clinton St
2663629.0,0,BIG BITE SUSHI,3811 N ASHLAND AVE ,,
2405009.0,Xg1D2w-ogtXffGnGTgoXEg,ORSO'S RESTAURANT,1401 N WELLS ST ,Orso's,1401 N Wells St
2609033.0,yyt-YwD2t50ts9CvtAx1hw,BLUE SPOT SUSHI CORP.,131 N CLINTON ST ,Blue Spot Sushi,131 N Clinton St
2397586.0,WBKcTdnNz8Wf73xY7hlIPQ,GUAPO TACO,2430 W 47TH ST ,Guapo Taco,2430 W 47th St
2621663.0,0,WHEREWITHALL,3472 N ELSTON AVE ,,
2289949.0,0,BON MANGER CATERING AND EVENTS,1973 W 111TH ST ,,
2621664.0,0,WHEREWITHALL,3472 N ELSTON AVE ,,
2647772.0,6jshyTJKUdcz0YTHyhi1ew,MIMA'S TASTE OF CUBA,2925 W IRVING PARK RD ,Mima's Taste of Cuba,2925 W Irving Park Rd
1955.0,PzphmAEYhRLQJzoJOsL4nw,EAST BANK CLUB,500 N KINGSBURY ST ,East Bank Club,500 N Kingsbury St
2621662.0,0,WHEREWITHALL,3472 N ELSTON AVE ,,
2589815.0,0,DENNIS' B & K,3806 W 26TH ST ,,
1070038.0,12r7JNZSuvO4bhpf0NQoZg,SUBWAY,5409 S HARLEM AVE ,Subway,5409 S Harlem Ave
1594881.0,YsiydMOidDp7kssWkudUag,MARVIN RESTAURANT,901 S CICERO AVE ,Marvins Restaurant,901 S Cicero Ave
1518496.0,2TOwPl0o1voh3UoMEGPYLA,Moe's Cantina,3518-3522 N CLARK ST ,Moe's Cantina,3518 N Clark St
2083875.0,g4keNU0pt9iFYPgaYfnczQ,WEST ON NORTH,2509 W NORTH AVE ,West On North,2509 W North Ave
2550380.0,HD80ObNiV_68Iq-HaQNyNw,LOWCOUNTRY 2,1132 S WABASH AVE ,Lowcountry South Loop,1132 S Wabash Ave
2428092.0,hVDfQnC9EUtHQFYA4ERv3w,ARMAN'S PIIZZERIA,6694 N NORTHWEST HWY ,Armand's Pizzeria,6694 N Northwest Hwy
2657790.0,0,HOT GRILL STOP,2200 W TAYLOR ,,
2664071.0,0,URBAN NOMADS,2439 N CLARK ,,
2636322.0,0,"TASTY CHILL, INC.",7601 S CICERO AVE ,,
37735.0,vNTZAG1r1Q_3UxfQTsEixQ,DI VITA'S RESTAURANT & PIZZA,3753 W BELMONT AVE ,Di Vita's Pizzeria,3753 W Belmont Ave
1517789.0,fT9LspNx3mc3VhlCziOBYQ,Panino's Pizzeria,3702-3704 N BROADWAY ,Panino's,3704 N Broadway St
2663627.0,0,MAJANI,756 E 111TH ST ,,
45189.0,XWbMHh7WQRu7tEZzIRKEgg,THE NORTHMAN,4337 N LINCOLN AVE ,The Northman,4337 N Lincoln Ave
2664116.0,0,FRIO GELATO,600 E GRAND AVE ,,
2359484.0,UwAp4bSOWXiqX62Zr0kEsA,THE SUBMARINE PIER,2759 W 51ST ST ,The Submarine Port,2759 W 51st St
2636386.0,0,MANHATTAN BAGELS,3268 N CLARK ST ,,
2298351.0,0,SIERRA & SONS ENTERPRISES INC,3808-3810 W NORTH AVE ,,
36760.0,dd93pzdlrrusLMl2_VtQXQ,GANNON'S PUB,4264 N LINCOLN AVE ,Gannon's Pub,4264 N Lincoln Ave
1447811.0,aR9rgMDZSJl2JyxrW8q-nQ,SUBWAY,4030 W ROOSEVELT RD ,Subway,4030 W Roosevelt Rd
2522235.0,4XQCW2YUdcfwYxl-v25-aw,JIBARITO'S Y MAS,3400 W FULLERTON AVE ,Jibarito's y Más,3400 W Fullerton Ave
2477105.0,mT_uFVYapK8xG7RZWh6aBg,TAQUIZAS Y BANQUETES EL SIETE,3817 S KEDZIE AVE ,Taquizas y Banquetes El Siete,3817 S Kedzie Ave
12601.0,GUwtdixuzA8u7EJHfgqRgA,EL FAMOUS RESTAURANT,7047 N CLARK ST ,El Famous Burrito,7047 N Clark St
1271831.0,PNVshX58m5A6hNAjUIe3AQ,PITCHFORK FOOD & SALOON,2922-2924 W IRVING PARK RD ,PitchFork,2922 W Irving Park Rd
1997628.0,PibX-YlN-xzJAk213QA0eg,ENG'S ASIAN CUISINE,7300 N WESTERN AVE ,Eng's Asian Cuisine,7300 N Western Ave
36240.0,zv6Np3a15fxtn8isqCFGPg,PARK TAVERN CHICAGO,1645 W JACKSON BLVD ,Park Tavern,1645 W Jackson Blvd
2390685.0,s8Dxq7Exy8Dg1recsucedQ,TRUGURT FROZEN YOGURT,3308 N WESTERN AVE ,Trugurt,3308 N Western Ave
2359305.0,92_wfDMvjFwxsOg8KGDiSA,LA MIXTECA POBLANA 2 LLC,3046-3050 W 63RD ST ,La Mixteca Poblana,3048 W 63rd St
